1,0,0,0,238,2,0
1,0,0,1,272,4,0
1,0,0,2,268,12,0
1,0,0,3,255,13,0
1,0,1,0,276,17,0
1,0,1,1,258,11,0
1,0,1,2,277,17,0
1,0,1,3,277,13,0
1,0,2,0,261,18,0
1,0,2,1,273,6,0
1,0,2,2,269,15,0
1,0,2,3,260,3,0
1,0,3,0,267,12,0
1,0,3,1,275,12,0
1,0,3,2,266,16,0
1,0,3,3,270,12,0
1,1,0,1,276,1,1
1,1,0,0,238,-4,1
1,1,0,2,268,10,1
1,1,3,1,292,9,1
1,1,1,0,261,3,1
1,1,1,1,259,4,1
1,1,1,2,270,9,1
1,1,0,3,266,10,1
1,1,1,3,271,12,1
1,1,2,0,267,9,1
1,1,2,1,272,7,1
1,1,2,2,272,9,1
1,1,3,0,276,10,1
1,1,3,2,276,11,1
1,1,2,3,268,8,1
1,1,3,3,272,11,1
1,2,3,0,265,12,2
1,2,1,0,260,-2,2
1,2,2,0,262,9,2
1,2,1,1,257,4,2
1,2,3,1,274,9,2
1,2,2,1,268,7,2
1,2,0,1,263,1,2
1,2,0,0,253,-1,2
1,2,0,2,261,5,2
1,2,1,2,262,6,2
1,2,2,2,267,7,2
1,2,3,2,272,8,2
1,2,0,3,265,7,2
1,2,1,3,266,8,2
1,2,2,3,267,8,2
1,2,3,3,268,9,2
1,3,3,2,278,7,3
1,3,3,1,273,9,3
1,3,1,2,260,5,3
1,3,0,0,253,-2,3
1,3,2,1,269,7,3
1,3,2,2,269,7,3
1,3,2,3,269,7,3
1,3,3,3,270,6,3
1,3,3,0,268,10,3
1,3,2,0,265,9,3
1,3,1,1,264,4,3
1,3,0,1,262,2,3
1,3,0,2,263,5,3
1,3,0,3,263,6,3
1,3,1,3,266,7,3
1,3,1,0,260,2,3
1,4,1,3,267,6,4
1,4,0,0,257,-2,4
1,4,3,1,289,11,4
1,4,2,0,265,11,4
1,4,1,2,266,5,4
1,4,2,2,271,7,4
1,4,2,3,269,6,4
1,4,0,2,265,6,4
1,4,0,3,265,6,4
1,4,1,1,264,4,4
1,4,0,1,262,2,4
1,4,1,0,260,2,4
1,4,3,2,278,8,4
1,4,2,1,269,8,4
1,4,3,0,274,10,4
1,4,3,3,274,7,4
1,5,0,0,258,-2,5
1,5,0,1,269,1,5
1,5,3,0,266,12,5
1,5,2,1,271,10,5
1,5,1,1,264,4,5
1,5,1,0,261,2,5
1,5,1,2,267,5,5
1,5,0,2,265,5,5
1,5,3,1,276,11,5
1,5,2,0,269,9,5
1,5,2,2,268,7,5
1,5,3,2,273,9,5
1,5,1,3,267,6,5
1,5,2,3,272,6,5
1,5,0,3,265,5,5
1,5,3,3,272,7,5
1,6,0,3,268,6,6
1,6,0,0,255,2,6
1,6,1,1,255,7,6
1,6,2,0,268,11,6
1,6,1,2,262,6,6
1,6,0,2,264,6,6
1,6,1,3,267,6,6
